partID,label,partType,partDesc,partInstr,fKAliasID,domain,specimenSet,compartmentSet,group,class,nomenclature,ontologyRef,latExp,mmaSet,unitSet,aggregationScale,aggregationSet,qualityIndSet,missingnessSet,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,phActions,phActionsRequired,phActionsOrder,calculations,calculationsRequired,calculationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygonRelationships,polygonRelationshipsRequired,polygonRelationshipsOrder,polygons,polygonsRequired,polygonsOrder,accessions,accessionsRequired,accessionsOrder,languages,languagesRequired,languagesOrder,translations,translationsRequired,translationsOrder,parts,partsRequired,partsOrder,sets,setsRequired,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,countries,countriesRequired,countriesOrder,zones,zonesRequired,zonesOrder,wideNames,wideNamesRequired,wideNamesOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
16rgs,16S Ribosomal Gene Sequencing,categories,An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
a1306s,a1306s delta-variant gene target,measurements,a1306s delta-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a1918v,a1918v delta-variant gene target,measurements,a1918v delta-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a2710t,a2710t omicron-variant gene target,measurements,a2710t omicron-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a63t,a63t omicron-variant gene target,measurements,a63t omicron-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a67v,a67v omicron-variant gene target,measurements,a67v omicron-variant mutation gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
a67vDel69Del70,Omicron Variant a67v del69 and del70 mutations,measurements,"Omicron Variant a67v mutation mutation, and del 69 and del70 mutations co-occuring",,,bio,saSpecimenSet,anyCompartmentSet,omicronGrp,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
aas,Atline Analyzer,categories,Atline analyzer with sampler.,An atline analyzer with sampler.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,1.0.0,2.0.0,"description wording, structure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
abricate,ABRicate Software,categories,Software tool for screening bacterial genomes against multiple resistance databases.,,,naDomain,naSpecimenSet,naCompartmentSet,amrGrp,software,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/tseemann/abricate,varchar,,,0,50
absHum,Absolute humidity,measurements,A measure of the total mass of water vapour present in the air per volume of air.,,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,humid,naNomenclature,,,,absHumidUnitSet,seeUnitAggScale,otherAggrSet,genQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
absHumidUnitSet,Absolute humidity unit set,unitSets,Unit set for absolute humidity measurements.,,,naDomain,naSpecimenSet,anyCompartmentSet,naGroup,naClass,naNomenclature,,,,absHumidUnitSet,seeUnitAggScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
abyss,ABySS,categories,"A sequencing software that is a scalable de novo assembler for large genomes, designed for distributed computing.",,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,software,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/bcgsc/abyss ,varchar,,,0,50
ac,Accessions report table Shorthand,shortName,The abbreviated short name used to reference the report table for accessions and accessionIDs.,table,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.2,2.2.2,added in V2.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
academ,Academic institution,categories,The category of organization type used for academic institutions or research groups.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
accelNGS2Splus,Accel-NGS 2S Plus DNA Library Kit,categories,Accel-NGS 2S Plus DNA Library Kit by Swift Biosciences. A library prep kit designed for efficient library prep from fragmented or damaged DNA.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
accessIndexID,Accessions Index ID,attributes,Provisional ID to act as a primary key for each row of the accessions table.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pK,mandatory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
partID,Part identifier,partSupport,The unique identify of any entity within the dictionary.,"Every entity in the ODM has a partID. The partID must be unique with no duplcates. partIDs are short. partIDs that are constructed by different part attributes can be up 28 characters (check max), but each part attibute should be 1 to 5 characters. partIDs are machine readible, but a knowledgable user can understand what they represent. partID are used, for example, as a header in an Excel input table. Numbers are allowed but there no other special characters other than `_`. `_` is a reserved character that is used to generate a partID using a compoent or table attributes. A partID for a subComponent is automatically generated using attributes of a component. For example, the partID for the compoent `SARS-CoV-2` is `covid`. `Covid` can have many subComponents including different groups (Covid-19-al, Covid-19-va, ovid-pr (allele, variant or protein) or units and aggregatrions (i.e. covid-al-N1-mean-cpl representing ovid allele N1, mean observation of viral copies per litre of effluent). A similar approach to naming subComponent is use for naming parts in a reprotTable.",,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,1.0.0,2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fK,mandatory,3,pK,mandatory,1,fK,mandatory,4,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
wideName,Wide Name,attributes,Unique identifier for wide table only. Use when all measures are performed on a single sample at the same time and same laboratory. Suggestion: siteID_sampleID_LabID_reportDate_ID.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,input,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,pK,mandatory,1,,varchar,,,0,30
partTypes,Part types part type,partTypes,"Part types describe the purpose or use of the part. Enivornment data has three main part types: measure (i.e. covN1 viral measures, wasteawater flow rate, temperature), method (e.g. how the measure was taken), and attribute (such as a site name). See description of each of the part types within setID = partTypeCatSets.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,input,,,,categorical,,,0,30
accessNum,Accession Number in Repository,attributes,The accession number for the data entry in the given data repository or hosting platform.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header,mandatory,7,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
acinetobacter,Acinetobacter,measurements,Acinetobacter,,,bio,saSpecimenSet,anyCompartmentSet,acinetobacterGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
acinetobacterGrp,Acinetobacter Group,groups,A group of measures/methods related to acinebacter bacteria.,Used to describe the organism information for general measures.,,bio,saSpecimenSet,anyCompartmentSet,acinetobacterGrp,organism,naNomenclature,,,,naUnitSet,seeUnitAggScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
acti,Number of active cases,units,Number of active cases.,,,bio,poSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$cases$,,naUnitSet,quantAggScale,linearAggrSet,,,active,1.0.0,2.0.0,now a unit for any group or biologic infection,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,,,
actiCaseOn,Number of active cases by Onset date,units,Number of active cases by onset date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",,bio,poSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$cases$,,naUnitSet,quantAggScale,linearAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,,,
actiEp,Number of active cases by episode date,units,Number of active cases by episode date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",,bio,poSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$cases$,,naUnitSet,quantAggScale,linearAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,,,
addressID,Address ID,attributes,A unique identifier for an address.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,fK,optional,8,,,,pK,mandatory,1,,,,fK,mandatory,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
aliasIDDep,Alias ID depreciated,attributes,Alias id,ID of an assay that is the same or similar. a comma separated list.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,depreciated,1.0.0,2.0.0,depreciated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
asID,Assay ID,attributes,Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.,"Deprecated as of version 2, please avoid use. Refer to methodID instead.",,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,depreciated,1.0.0,2.0.0,"depreciated, now covered by partID = methodID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
amDefDep,Assay method id default depreciated,attributes,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,depreciated,1.0.0,2.0.0,depreciated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
actionTypeSet,Public Health Action Type Value Set,mmaSets,A set of valid categories for the public health action type field.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,actionTypeSet,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
actiRep,Number of active cases by Report date,units,Number of active cases by report date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",,bio,poSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$cases$,,naUnitSet,quantAggScale,linearAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,,,
actiTest,Number of active cases by test date,units,Number of active cases by test date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",,bio,poSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$cases$,,naUnitSet,quantAggScale,linearAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,,,
active,Active,categories,Indicator that a part is in current use.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
ad,Address table Shorthand,shortName,"The abbreviated short name used to reference the The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ",table,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.2,2.2.2,added in V2.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
adapterRemoval,AdapterRemoval,categories,A sequencing data processing application that removes adapters and filters reads based on quality and length.,,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,software,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://adapterremoval.readthedocs.io/,varchar,,,0,50
aDate,Analysis date,attributes,Date the measurement was performed in the lab.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,depreciated,1.0.0,2.1.0,Github Issue #211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,datetime,,,0,30
aDateEnd,Analysis date end,attributes,Date the measurement or analysis was completed.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,1.0.0,2.0.0,Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211,,,,,,,header,mandatory,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,datetime,,,0,30
aDateStart,Analysis date start,attributes,Date the measurement or analysis was started.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,1.0.0,2.0.0,,,,,,,,header,optional,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,datetime,,,0,30
calculationID,Calculation ID,attributes,A unique identifier and primary key for every row of the calculations table.,Typically generated as a composite key of container ID and step ID.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,pK,mandatory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
addL1,Address Line 1,attributes,"Line 1 (the street name, number and direction) for a given address.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,header,mandatory,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
shortName,Short names,partTypes,Shortened names for tables and other important parts for use in wide names.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,3.0.0,"moved to a partType, no longer a column in parts. Managed via the sets table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
partDesc,Part description,partSupport,The description of the part.,"Provides description of the part, used for tranlsation.",,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header,mandatory,5,header,mandatory,4,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,1000
partInstr,Part instruction,partSupport,Additional notes and instructions on how a part is used and/or defined.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header,optional,6,header,optional,5,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,200
cardRGI,CARD Resistance Gene Identifier (RGI),categories,Software tool that is a part of the Comprehensive Antibiotic Resistance Database (CARD) used for annotation and prediction of AMR.,,,naDomain,naSpecimenSet,naCompartmentSet,amrGrp,software,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://card.mcmaster.ca/analyze,varchar,,,0,50
adenovirusF40,Adenovirus (F40/41),measurements,Adenovirus (F40/41),,,bio,saSpecimenSet,anyCompartmentSet,adenovirusGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
adenovirusGrp,Adenovirus Group,groups,A group of measures/methods related to Adenoviruses.,Used to describe the organism information for general measures.,,bio,saSpecimenSet,anyCompartmentSet,adenovirusGrp,organism,naNomenclature,,,,naUnitSet,seeUnitAggScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
admRegLevel,Administrative regions,categories,Administrative regions,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,3.0.0,"Reactivated as organization level and sector categorical inputs, rather than attributes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
adv40,Adenovirus 40,measurements,Adenovirus serotype 40.,,,bio,saSpecimenSet,anyCompartmentSet,adenovirusGrp,allele,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.1.0,2.1.0,added in V2.1.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
adv41,Adenovirus 41,measurements,Adenovirus serotype 41.,,,bio,saSpecimenSet,anyCompartmentSet,adenovirusGrp,allele,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.1.0,2.1.0,added in V2.1.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
advF41Fibre,Adenovirus F41 Fibre Gene Target,measurements,Human Adenovirus Group F41 Fiber gene target,,,bio,saSpecimenSet,anyCompartmentSet,adenovirusGrp,allele,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.1.0,2.1.0,added in V2.1.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
aerTank,Aeration tank ,categories,A chamber in wastewater treatment where air is introduced to promote microbial breakdown of organic pollutants.,,,naDomain,naSpecimenSet,naCompartmentSet,colGrp,naClass,naNomenclature,ENVO:03501469,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
afl30,Academic Free License v3.0,categories,The licensing for the measure or data set is managed under the Academic Free License v3.0.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://choosealicense.com/licenses/afl-3.0/,varchar,,,0,30
