"Target","Mutation","X3","X4","Target","Allele","X7","X8","Target","Variant","X11","X12","Genetic.Unit.Set","X14","X15","saMaterial","(sample.material,.'sample.type')","X18","Sample.Collection","X20","X21","Fraction.analyzed","X23","X24","methodID","(PCR//Sequencing)","X27","X28","pcrSet","(for.partID.=.pcrmeth,.label.=.PCR.method)","X31","scriptSet","(for.partID.=.scriptVersion,.label.=.Script.version)","X34","seqStratSet","(for.partID.=.seqStrat,.label.=.Sequencing.strategy)","X37","seqSelSet","(for.partID.=.seqSel,.label.=.Sequencing.selection)","X40","seqLaySet","(for.partID.=.seqLay,.label.=.Sequencing.layout)","X43","Aggregation","X45","X46","target.type","X48","X49","sample.shed","X51","X52","Airport","X54","X55","methodID","(PCR//Sequencing)","X58","Target","X60","X61","X62"
"n211i ","n211i omicron-variant gene target","n211i omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BSL","Basel","Switzerland",NA,NA,NA,"q19e","q19e omicron-variant gene target","q19e omicron-variant gene target","geneticUnitSet"
"n679k ","n679k omicron-variant gene target","n679k omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAP","Basel/Mulhouse","Switzerland/France",NA,NA,NA,"q493r","q493r omicron-variant gene target","q493r omicron-variant gene target","geneticUnitSet"
"n856k ","n856k omicron-variant gene target","n856k omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIA","Bastia","France",NA,NA,NA,"q498r","q498r omicron-variant gene target","q498r omicron-variant gene target","geneticUnitSet"
"n969k ","n969k omicron-variant gene target","n969k omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BYU","Bayreuth - Bindlacher-Berg","Germany",NA,NA,NA,"q954h","q954h omicron-variant gene target","q954h omicron-variant gene target","geneticUnitSet"
"niid19","niid_2019-ncov_n sars-cov-2 gene target","niid_2019-ncov_n sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BHD","Belfast�- George Best Belfast City Airport","United Kingdom",NA,NA,NA,"r203m","r203m delta-variant gene target","r203m delta-variant gene target","geneticUnitSet"
"p100l","p100l delta-variant gene target","p100l delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BFS","Belfast�- Belfast International Airport","United Kingdom",NA,NA,NA,"rdrpIP2","IP2 rdrp sars-cov-2 gene target","IP2 rdrp sars-cov-2 gene target","geneticUnitSet"
"p2046l","p2046l delta-variant gene target","p2046l delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEG","Belgrad�(Beograd) - Belgrade Nikola Tesla International","Serbia",NA,NA,NA,"rdrpIP4","IP4 rdrp sars-cov-2 gene target","IP4 rdrp sars-cov-2 gene target","geneticUnitSet"
"p2287s","p2287s delta-variant gene target","p2287s delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEB","Benbecula","United Kingdom",NA,NA,NA,"s2083i","s2083i omicron-variant gene target","s2083i omicron-variant gene target","geneticUnitSet"
"p3395h ","p3395h omicron-variant gene target","p3395h omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGY","Bergamo/Milan�- Orio Al Serio","Italy",NA,NA,NA,"s371l","s371l omicron-variant gene target","s371l omicron-variant gene target","geneticUnitSet"
"p681r","p681r delta-variant gene target","p681r delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGO","Bergen","Norway",NA,NA,NA,"s373p","s373p omicron-variant gene target","s373p omicron-variant gene target","geneticUnitSet"
"q19e ","q19e omicron-variant gene target","q19e omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EGC","Bergerac - Roumanieres","France",NA,NA,NA,"s375f","s375f omicron-variant gene target","s375f omicron-variant gene target","geneticUnitSet"
"q493r ","q493r omicron-variant gene target","q493r omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BER","Berlin","Germany",NA,NA,NA,"s477n","s477n omicron-variant gene target","s477n omicron-variant gene target","geneticUnitSet"
"q498r ","q498r omicron-variant gene target","q498r omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SXF","Berlin, Schoenefeld","Germany",NA,NA,NA,"t19r","t19r delta-variant gene target","t19r delta-variant gene target","geneticUnitSet"
"q954h ","q954h omicron-variant gene target","q954h omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TXL","Berlin, Tegel","Germany",NA,NA,NA,"t3646a","t3646a delta-variant gene target","t3646a delta-variant gene target","geneticUnitSet"
"r203m","r203m delta-variant gene target","r203m delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THF","Berlin, Tempelhof (ceased operating in 2008)","Germany",NA,NA,NA,"t547k","t547k omicron-variant gene target","t547k omicron-variant gene target","geneticUnitSet"
"rdrpIP2","IP2 rdrp sars-cov-2 gene target","IP2 rdrp sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRN","Berne, Bern-Belp","Switzerland",NA,NA,NA,"t9i","t9i omicron-variant gene target","t9i omicron-variant gene target","geneticUnitSet"
"rdrpIP4","IP4 rdrp sars-cov-2 gene target","IP4 rdrp sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZDJ","Berne, Railway Service","Switzerland",NA,NA,NA,"taqpatN","TaqPath N sars-cov-2 gene target","TaqPath N sars-cov-2 gene target","geneticUnitSet"
"s2083i ","s2083i omicron-variant gene target","s2083i omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIQ","Biarritz","France",NA,NA,NA,"taqpatS","TaqPath S sars-cov-2 gene target","TaqPath N sars-cov-2 gene target","geneticUnitSet"
"s371l ","s371l omicron-variant gene target","s371l omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIO","Bilbao","Spain",NA,NA,NA,"v2930l","v2930l delta-variant gene target","v2930l delta-variant gene target","geneticUnitSet"
"s373p ","s373p omicron-variant gene target","s373p omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLL","Billund","Denmark",NA,NA,NA,"y505h","y505h omicron-variant gene target","y505h omicron-variant gene target","geneticUnitSet"
"s375f ","s375f omicron-variant gene target","s375f omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BHX","Birmingham�- Birmingham International Airport","United Kingdom",NA,NA,NA,"otherM","other mutation","use for mutations not yet added to dictionary","geneticUnitSet"
"s477n ","s477n omicron-variant gene target","s477n omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLK","Blackpool","United Kingdom",NA,NA,NA,NA,"*** Allele ***",NA,NA
"t19r","t19r delta-variant gene target","t19r delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOO","Bodo","Norway",NA,NA,NA,"covE","SARS-CoV-2-E","SARS-CoV-2 E gene.","geneticUnitSet"
"t3646a","t3646a delta-variant gene target","t3646a delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BJV","Bodrum - Milas Airport","Turkey",NA,NA,NA,"covN1","SARS-CoV-2-N1","SARS-CoV-2 nucleocapsid gene, allele 1.","geneticUnitSet"
"t547k ","t547k omicron-variant gene target","t547k omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLQ","Bologna","Italy",NA,NA,NA,"covN2","SARS-CoV-2-N2","SARS-CoV-2 nucleocapsid gene, allele 2.","geneticUnitSet"
"t9i ","t9i omicron-variant gene target","t9i omicron-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOD","Bordeaux�- Bordeaux Airport","France",NA,NA,NA,"covN3","SARS-CoV-2-N3","SARS-CoV-2 nucleocapsid gene, allele 3.","geneticUnitSet"
"taqpatN","TaqPath N sars-cov-2 gene target","TaqPath N sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOJ","Bourgas/Burgas","Bulgaria",NA,NA,NA,"covRdrp","SARS-CoV-2-RdRp","SARS-CoV-2 RdRp gene.","geneticUnitSet"
"taqpatS","TaqPath S sars-cov-2 gene target","TaqPath N sars-cov-2 gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOH","Bournemouth","United Kingdom",NA,NA,NA,"sGene","S sars-cov-2 gene target","S sars-cov-2 gene target","geneticUnitSet"
"v2930l","v2930l delta-variant gene target","v2930l delta-variant gene target","geneticUnitSet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BTS","Bratislava�- M. R. �tef�nik Airport","Slovakia",NA,NA,NA,"otherA","other allele","use for allele targets not yet added to dictionary","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRE","Bremen�- Bremen Airport (Flughafen Bremen)","Germany",NA,NA,NA,NA,"*** Variant ***",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VBS","Brescia, Montichiari","Italy",NA,NA,NA,"beta","Beta (B.1.351)","B.1.351","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BES","Brest","France",NA,NA,NA,"covB117","SARS-CoV-2-B.1.1.7","Variant B.1.1.7 of the SARS-CoV-2 virus.","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BDS","Brindisi","Italy",NA,NA,NA,"covB135","SARS-CoV-2-B.1.351","Variant B.1.351 of the SARS-CoV-2 virus.","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRS","Bristol","United Kingdom",NA,NA,NA,"covP1","SARS-CoV-2-P.1","Variant P.1 of the SARS-CoV-2 virus.","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BNN","Broennoeysund","Norway",NA,NA,NA,"delta","Delta (B.1.617.2)","B.1.617.2","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRU","Brussels�- Brussels Airport","Belgium",NA,NA,NA,"lamba","Lambda C.37","C.37","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUH","Bucharest","Romania",NA,NA,NA,"omicr1","Omicron B.1.1.529","Omicron B.1.1.529","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTP","Bucharest�- Henri Coand? International Airport","Romania",NA,NA,NA,"omicr2","Omicron BA.2","Omicron BA.2","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUD","Budapest�- Budapest Ferihegy International Airport","Hungary",NA,NA,NA,"omicr275","Omicron BA.2.75","Omicron BA.2.75","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAG","Cagliari","Italy",NA,NA,NA,"omicr4","Omicron BA.4","Omicron BA.4","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLY","Calvi","France",NA,NA,NA,"omicr5","Omicron BA.5","Omicron BA.5","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBG","Cambrigde","United Kingdom",NA,NA,NA,"otherV","other variant","use for variants not yet added to dictionary","geneticUnitSet"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAL","Campbeltown","United Kingdom",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEQ","Cannes�� Mandelieu Airport","France",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CWL","Cardiff�- Cardiff Airport","United Kingdom",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CTA","Catania","Italy",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CBU","Cottbus - Cottbus-Drewitz Airport","Germany",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CMF","Chambery","France",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHQ","Chania","Greece",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JKH","Chios","Greece",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIV","Chisinau�- Chi?in?u International Airport","Moldova",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CFE","Clermont Ferrand","France",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGN","Cologne�- Cologne Airport (Flughafen K�ln/Bonn)","Germany",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CND","Constanta�(Constan?a) - Constanta Int'l Airport","Romania",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPH","Copenhagen�- Copenhagen Airport","Denmark",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ODB","Cordoba","Spain",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CFU","Corfu","Greece",NA,NA,NA,NA,NA,NA,NA
